Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
L3Harris Technologies Inc,LHX,50243110,BK9DTN5,0.111184,Industrials,2095881,USD
American International Group Inc.,AIG,2687478,2027342,0.111159,Financials,8173773,USD
PACCAR Inc,PCAR,69371810,2665861,0.111105,Industrials,5738918,USD
Hershey Company,HSY,42786610,2422806,0.110928,Consumer Staples,1619491,USD
Sysco Corporation,SYY,87182910,2868165,0.110661,Consumer Staples,5585021,USD
Newmont Corporation,NEM,65163910,2636607,0.110216,Materials,8745822,USD
IQVIA Holdings Inc,IQV,46266C10,BDR73G1,0.10887,Health Care,2043664,USD
Aflac Incorporated,AFL,105510,2026361,0.107919,Financials,6223077,USD
Centene Corporation,CNC,15135B10,2807061,0.107754,Health Care,6068436,USD
Ross Stores Inc.,ROST,77829610,2746711,0.106988,Consumer Discretionary,3831161,USD
Capital One Financial Corp,COF,14040H10,2654461,0.106394,Financials,4208124,USD
Williams Companies Inc.,WMB,96945710,2967181,0.10632,Energy,13357379,USD
Constellation Brands Inc. Class A,STZ,21036P10,2170473,0.10512,Consumer Staples,1785163,USD
Simon Property Group Inc.,SPG,82880610,2812452,0.104215,Real Estate,3602543,USD
Illumina Inc.,ILMN,45232710,2613990,0.104021,Health Care,1730332,USD
Welltower Inc.,WELL,95040Q10,BYVYHH4,0.102772,Real Estate,5198547,USD
Paychex Inc.,PAYX,70432610,2674458,0.102686,Industrials,3528561,USD
Devon Energy Corporation,DVN,25179M10,2480677,0.102616,Energy,7178494,USD
Consolidated Edison Inc.,ED,20911510,2216850,0.102287,Utilities,3903854,USD
Carrier Global Corp.,CARR,14448C10,BK4N0D7,0.101533,Industrials,9226952,USD
Mettler-Toledo International Inc.,MTD,59268810,2126249,0.101224,Health Care,245016,USD
Charter Communications Inc. Class A,CHTR,16119P10,BZ6VT82,0.10077,Communication Services,1160652,USD
Kinder Morgan Inc Class P,KMI,49456B10,B3NQ4P8,0.100501,Energy,21734200,USD
Otis Worldwide Corporation,OTIS,68902V10,BK531S8,0.100286,Industrials,4601281,USD
Electronic Arts Inc.,EA,28551210,2310194,0.098386,Communication Services,2895397,USD
D.R. Horton Inc.,DHI,23331A10,2250687,0.09804,Consumer Discretionary,3442786,USD
Copart Inc.,CPRT,21720410,2208073,0.097179,Industrials,4714170,USD
ResMed Inc.,RMD,76115210,2732903,0.097072,Health Care,1611793,USD
PPG Industries Inc.,PPG,69350610,2698470,0.096667,Materials,2576564,USD
VICI Properties Inc,VICI,92565210,BYWH073,0.096328,Real Estate,11059154,USD
Ameriprise Financial Inc.,AMP,03076C10,B0J7D57,0.096111,Financials,1170390,USD
Cummins Inc.,CMI,23102110,2240202,0.095979,Industrials,1556862,USD
Fidelity National Information Services Inc.,FIS,31620M10,2769796,0.095699,Financials,6528061,USD
DuPont de Nemours Inc.,DD,26614N10,BK0VN47,0.09346,Materials,5047844,USD
Dollar Tree Inc.,DLTR,25674610,2272476,0.093183,Consumer Staples,2313765,USD
Bank of New York Mellon Corp,BK,6405810,B1Z77F6,0.092773,Financials,8061729,USD
Old Dominion Freight Line Inc.,ODFL,67958010,2656423,0.0927,Industrials,996582,USD
ON Semiconductor Corporation,ON,68218910,2583576,0.092692,Information Technology,4748579,USD
Public Service Enterprise Group Inc,PEG,74457310,2707677,0.092494,Utilities,5489784,USD
GE Healthcare Technologies Inc.,GEHC,36266G10,BL6JPG8,0.092016,Health Care,3993886,USD
AMETEK Inc.,AME,3110010,2089212,0.091459,Industrials,2530501,USD
Rockwell Automation Inc.,ROK,77390310,2754060,0.091262,Industrials,1259593,USD
Prudential Financial Inc.,PRU,74432010,2819118,0.091224,Financials,4048030,USD
Kroger Co.,KR,50104410,2497406,0.090741,Consumer Staples,7167575,USD
Fastenal Company,FAST,31190010,2332262,0.090654,Industrials,6289733,USD
Halliburton Company,HAL,40621610,2405302,0.090364,Energy,9989260,USD
Kraft Heinz Company,KHC,50075410,BYRY499,0.089776,Consumer Staples,8731213,USD
WEC Energy Group Inc,WEC,92939U10,BYY8XK8,0.089015,Utilities,3469963,USD
Allstate Corporation,ALL,2000210,2019952,0.088728,Financials,2917133,USD
Cognizant Technology Solutions Corporation Class A,CTSH,19244610,2257019,0.088526,Information Technology,5669347,USD
Verisk Analytics Inc,VRSK,92345Y10,B4P9W92,0.088423,Industrials,1720806,USD
Enphase Energy Inc.,ENPH,29355A10,B65SQW4,0.088276,Information Technology,1497646,USD
W.W. Grainger Inc.,GWW,38480210,2380863,0.087975,Industrials,496392,USD
Baker Hughes Company Class A,BKR,05722G10,BDHLTQ5,0.087281,Energy,11016287,USD
ONEOK Inc.,OKE,68268010,2130109,0.086442,Energy,4916906,USD
Keurig Dr Pepper Inc.,KDP,49271V10,BD3W133,0.08642,Consumer Staples,9312791,USD
Warner Bros. Discovery Inc. Series A,WBD,93442310,BM8JYX3,0.085372,Communication Services,24349196,USD
American Water Works Company Inc.,AWK,3042010,B2R3PV1,0.084543,Utilities,2126240,USD
Zimmer Biomet Holdings Inc.,ZBH,98956P10,2783815,0.083689,Health Care,2308469,USD
Aptiv PLC,APTV,G6095L10,B783TY6,0.082616,Consumer Discretionary,2980811,USD
